title_opinion,user_description,review
"Opinión sobre Tarjeta Antes,Opinión sobre BBVA,Opinión sobre BBVA,Opinión sobre Cuenta Online Sin Comisiones,Opinión sobre Tarjeta Antes,Opinión sobre Cuenta Online para Jóvenes BBVA,Opinión sobre BBVA,Opinión sobre BBVA,Opinión sobre BBVA,Opinión sobre Cuenta Online Sin Comisiones,Opinión sobre BBVA,Opinión sobre BBVA,Opinión sobre Oficina 0565 en Llíria,Opinión sobre BBVA","
                                    ,
                                    ,
                                    He recargado la tarjeta y ha desaparecido el dinero!!!!! No sale ni en la tarjeta ni en la cuenta
                                ,
                                    ,
                                    ,
                                    El peor banco que puedes conseguir, ninguna plataforma funciona. Ni la pagina web, ni las aplicaciones del celular. En plena pandemia se ufanan de tener herramientas sofisticadas y sin embargo te envían al banco a hacer transacciones en plena pandemia. Las líneas de atención telefonicas, inexistentes, nunca te contestan. Y el asesor virtual de la pagina es un robot con respuestas automaticas que no solucionan nada.
                                ,
                                    ,
                                    ,
                                    Yo no lo recomiendo, me cobraron una comisión sin decírmelo ni asesorarme y no me la devuelven. Voy a cerrar todas mis cuentas
                                ,
                                    ,
                                    ,
                                    A los 2 meses me **** la madrugada del 18 Agosto,sin tocar el smartphone , ninguna aplicación está asegurada , hackers o quienes fueran entraron y saquearon mi cuenta bancaria online BBVA
                                ,
                                    ,
                                    ,
                                    Desaparece el dinero sin ninguna operación, el dinero un dia esta y al siguiente no, y no aparece ningún movimiento
                                ,
                                    ,
                                    ,
                                    Me aperture esta cuenta ""sin comisiones"" luego me la cambiaron sin avisar a otro producto con comisiones y no quieren devolverme el dinero que me cobraron indebidamente.
                                ,
                                    ,
                                    ,
                                    Cuenta Online
Facil de abrir la cuenta. La app con todo lo premiada que ha sido, tengo que decir que la apariencia es poco seria y no puedes operar si eres autorizado, solo el titular. Esto no sucede con Bankia, Santander y EVO, que son las app que conozco. Una lastima.
Por lo demas bien, de momento.
                                ,
                                    ,
                                    ,
                                    Unos **** a la minima te cobran comisiones y no te molestes en reclamrñar que esta perdido. Mucho marketing y mucha palabreria pero son los mismo l**** de simepre. Ademas en las oficinas se limpian las manos y te ponen pegas para cualquier gestion. Noda recomedable abrir una vuenta con ellos.
                                ,
                                    ,
                                    ,
                                    Todo iba de maravilla hasta que actualice a la ultima version de la app. No estoy seguro pero creo que ese es el fallo.
                                ,
                                    ,
                                    ,
                                    alta rápida en escasos minutos a través de la app
                                ,
                                    ,
                                    ,
                                    Es el peor banco que haya conocido, me retuvieron un cheque que es de su propio banco, no puedo disponer de ese dinero porque lo están validando, jamás me había pasado con otro bancos. Retienen tu dinero porque se les pega la gana. ****
                                ,
                                    ,
                                    ,
                                    Sigue no funcionando después de la última actualización de Android. Mal.
                                ,
                                    ,
                                    ,
                                    Malisima atención en mesa 5 para información sobre hipotecas.
                                ,
                                    ,
                                    ,
                                    La verdad es que es una vergüenza incluso antes de comenzar a ser clientes. un error en su propia aplicación web con un ""Error desconocido"". Sistema de atención al cliente bastante borde, al menos los asociados al servicio de ""Te llamamos"". Si quieres dar de baja tus datos no puedes (incluso si aun no eres cliente) por que se debe de realizar de ""otra manera"". Vamos, mediante correo postal y ya de ultimas consigo que me den un email... En definitiva, una banca Online con errores online...
                                ","[1, 1, 1, 1, 1, 1, 4, 1, 2, 5, 1, 1, 1, 1]"
title_opinion,user_description,review
"Opinión sobre Tarjeta Antes,Opinión sobre BBVA,Opinión sobre BBVA,Opinión sobre Cuenta Online Sin Comisiones,Opinión sobre Tarjeta Antes,Opinión sobre Cuenta Online para Jóvenes BBVA,Opinión sobre BBVA,Opinión sobre BBVA,Opinión sobre BBVA,Opinión sobre Cuenta Online Sin Comisiones,Opinión sobre BBVA,Opinión sobre BBVA,Opinión sobre Oficina 0565 en Llíria,Opinión sobre BBVA","
                                    ,
                                    ,
                                    He recargado la tarjeta y ha desaparecido el dinero!!!!! No sale ni en la tarjeta ni en la cuenta
                                ,
                                    ,
                                    ,
                                    El peor banco que puedes conseguir, ninguna plataforma funciona. Ni la pagina web, ni las aplicaciones del celular. En plena pandemia se ufanan de tener herramientas sofisticadas y sin embargo te envían al banco a hacer transacciones en plena pandemia. Las líneas de atención telefonicas, inexistentes, nunca te contestan. Y el asesor virtual de la pagina es un robot con respuestas automaticas que no solucionan nada.
                                ,
                                    ,
                                    ,
                                    Yo no lo recomiendo, me cobraron una comisión sin decírmelo ni asesorarme y no me la devuelven. Voy a cerrar todas mis cuentas
                                ,
                                    ,
                                    ,
                                    A los 2 meses me **** la madrugada del 18 Agosto,sin tocar el smartphone , ninguna aplicación está asegurada , hackers o quienes fueran entraron y saquearon mi cuenta bancaria online BBVA
                                ,
                                    ,
                                    ,
                                    Desaparece el dinero sin ninguna operación, el dinero un dia esta y al siguiente no, y no aparece ningún movimiento
                                ,
                                    ,
                                    ,
                                    Me aperture esta cuenta ""sin comisiones"" luego me la cambiaron sin avisar a otro producto con comisiones y no quieren devolverme el dinero que me cobraron indebidamente.
                                ,
                                    ,
                                    ,
                                    Cuenta Online
Facil de abrir la cuenta. La app con todo lo premiada que ha sido, tengo que decir que la apariencia es poco seria y no puedes operar si eres autorizado, solo el titular. Esto no sucede con Bankia, Santander y EVO, que son las app que conozco. Una lastima.
Por lo demas bien, de momento.
                                ,
                                    ,
                                    ,
                                    Unos **** a la minima te cobran comisiones y no te molestes en reclamrñar que esta perdido. Mucho marketing y mucha palabreria pero son los mismo l**** de simepre. Ademas en las oficinas se limpian las manos y te ponen pegas para cualquier gestion. Noda recomedable abrir una vuenta con ellos.
                                ,
                                    ,
                                    ,
                                    Todo iba de maravilla hasta que actualice a la ultima version de la app. No estoy seguro pero creo que ese es el fallo.
                                ,
                                    ,
                                    ,
                                    alta rápida en escasos minutos a través de la app
                                ,
                                    ,
                                    ,
                                    Es el peor banco que haya conocido, me retuvieron un cheque que es de su propio banco, no puedo disponer de ese dinero porque lo están validando, jamás me había pasado con otro bancos. Retienen tu dinero porque se les pega la gana. ****
                                ,
                                    ,
                                    ,
                                    Sigue no funcionando después de la última actualización de Android. Mal.
                                ,
                                    ,
                                    ,
                                    Malisima atención en mesa 5 para información sobre hipotecas.
                                ,
                                    ,
                                    ,
                                    La verdad es que es una vergüenza incluso antes de comenzar a ser clientes. un error en su propia aplicación web con un ""Error desconocido"". Sistema de atención al cliente bastante borde, al menos los asociados al servicio de ""Te llamamos"". Si quieres dar de baja tus datos no puedes (incluso si aun no eres cliente) por que se debe de realizar de ""otra manera"". Vamos, mediante correo postal y ya de ultimas consigo que me den un email... En definitiva, una banca Online con errores online...
                                ","[1, 1, 1, 1, 1, 1, 4, 1, 2, 5, 1, 1, 1, 1]"
