opinion,user_description,review
Opinión sobre BBVA,"13:05 Acompañó a mi madre de 78 años ha ingresar cheque de notaria venta de su vivienda y me dicen en BBVA que hasta mañana nada, el servicio es hasta las 11:00. Que pena de BBVA si fuese yo ingreso y me lo llevo a otro banco. Una vergüenza",1.0
Opinión sobre BBVA,"Se les ha ido la olla este 2020. Yo cumplo 30 años este año y paso de 0 comisiones a 100€ año si no cumplo los requisitos entre ellos X ingresos trimestre k mes. En verano no he podido ingresar 2 meses y ahora sorpresa.. un ****. Antes desde la app hacía todo gratis, ahora cobran 2€ por certificado que necesites!! ****. Me cambio ya",2.0
Opinión sobre BBVA,"Es el pero Banco!!!! Totalmente ineficientes , irresponsables , incapaces de manejar transacciones internacionales. Envio dinero desde un Banco de Estados Unidos ( super eficientes y total honestidad) . Este banco inescrupoloso, toma una Buena tajada del dinero en cada envoi o transferencia, totalmente inaceptable , retienen el dinero por semanas y le hacen llenar un enorme formulario a la persona. no recomiendo este banco para la gente en colombia, tienen"" 0"" en calificacion, deshonestos.",1.0
Opinión sobre BBVA,"Roban por todos lados.. Penosa entidad...mis padres jubilados con dos cuentas hace años,.. Les cobran 100eu cada 6 meses,antes 60,cambian las condiciones cuando les, sale de los ****. Y por cada, recibo o movimiento 0,60cm, sin mayores con una minima jubilación, son tan ****, q como las cuentas están a nombre de los dos y uno de ellos no se puede mover, dicen q no la podemos cancelar si no estan los dos titulares... tiene ****",2.0
Opinión sobre BBVA,"****. No atienden tus reclamaciones, te marean haciéndote aportar documentación una y otra vez para que te canses y desistas en reclamar tú dinero. Engañan con sus ""productos""y después no se hacen responsables. Ya he tenido que poner una demanda contra ellos, ahora tendré que poner otra con el consecuente gasto y perdida de tiempo que eso conlleva. Por eso, en cuanto veas una oficina de BBVA... Corre!!!",1.0
Opinión sobre BBVA,Muy mal asesoramiento con un depósito y he perdido mucho dinero,1.0
Opinión sobre BBVA,"Son unos ****, aprovechan cualquier situacion para cobrarte comisiones, como actualmente en este estado de pandemia como no llegas a cumplir sus condiciones, te dan unos sablazos. yo por mi parte cierro la cuenta.",1.0
Opinión sobre BBVA,observo que ha perdido calidad  y agilidad.mi calificacion es 2,2.0
Opinión sobre BBVA,"Hoy, dia 31 de agosto de 2020, he ido a la delegacion sita en ****, en la avenida **** . Iba para pagar por cuenta una plusvalia a nombre de mi madre, cliwnta del banco desde gace mas de 50 años. No he dado en mi vida con una persona más desagradable y con menos educación que el señor que estaba en caja. Me oarece incrrible que una entidad como esra tenga ese tipo de perdonas cara al público . Si la cuenta llega a ser mia, en ese mismo momento, la anulo. Un desastre",1.0
Opinión sobre Cuenta Blue,"Es una **** de tarjeta, no puedes disponer de tu dinero cuando lo necesitas. El banco te restringe las compras.",1.0
Opinión sobre BBVA,"Cada vez menos oficinas y menos cajeros y ahora, para más inri, ya no hay teléfono de atención al cliente. Si quieres hablar con ellos, tiene que ser solo con la gente de tu oficina, que no dan a basto, y tener suerte de que te cojan el teléfono. Impresionante!!!!!",1.0
